実質暦年,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Calendar Year",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
Calendar Year,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/1-12.,"446,522.3","249,412.3","245,437.7","210,086.7","31,733.1","66,333.9",-87.9,"72,336.5","46,623.2",454.2,"-8,619.7","38,313.2","46,932.8","-11,663.3 ",,"18,689.4","465,211.7","3,925.1","14,759.0","10,834.0","469,136.7",,"462,987.4","345,825.6","117,297.8",,"141,097.2",,"445,810.5",,,
1995/1-12.,"458,270.3","255,553.5","251,364.7","215,236.8","30,403.2","71,354.5","1,682.2","75,103.3","46,863.1",147.6,"-13,113.8","39,915.9","53,029.7","-9,723.3 ",,"20,178.8","478,449.1","4,115.4","16,985.0","12,869.7","482,564.5",,"477,927.5","357,957.5","120,052.7",,"145,619.7",,"456,103.9",,,
1996/1-12.,"472,631.9","260,557.9","256,286.2","219,355.5","33,702.7","75,665.3","2,186.1","76,862.3","49,515.1",322.9,"-17,425.0","41,844.9","59,269.9","-8,755.3 ",,"19,510.3","492,142.2","5,999.7","11,754.5","5,754.9","498,141.9",,"495,343.7","370,964.2","124,467.1",,"155,531.2",,"469,850.6",,,
1997/1-12.,"477,269.5","262,002.6","257,733.9","220,021.7","30,418.3","78,380.2","2,646.3","78,073.0","46,161.1",201.0,"-13,089.8","46,483.4","59,573.2","-7,523.2 ",,"18,364.5","495,634.0","6,570.4","12,365.8","5,795.3","502,204.4",,"495,317.0","372,864.7","122,452.9",,"152,546.8",,"474,147.6",,,
1998/1-12.,"471,206.6","260,307.9","255,469.0","217,100.4","26,324.5","77,323.8","1,795.1","79,089.5","44,250.6",-93.0,"-10,163.1","45,356.8","55,519.9","-7,628.7 ",,"19,438.9","490,645.6","6,135.5","11,595.1","5,459.6","496,781.1",,"487,022.3","365,614.2","121,453.3",,"146,032.4",,"469,098.9",,,
1999/1-12.,"469,633.1","263,087.3","257,771.5","218,547.0","26,331.3","73,575.5","-3,523.1","81,883.8","46,927.4",-146.9,"-11,311.2","46,264.2","57,575.5","-7,191.0 ",,"19,816.6","489,449.7","6,060.8","10,023.5","3,962.7","495,510.4",,"485,921.8","359,482.7","126,739.1",,"144,442.2",,"472,338.9",,,
